id,date,etape,id_conversation,id_contact,etape_finale
-1,2022-11-04,0,-1,ACoAAAOKwVMB-F6DF4wZBSX4e7f2ibADYUanu7E,0
-1,2022-11-04,0,-1,ACoAAADd_1YBEc3n_YowDbz70ugwnKpQ4SAsmyo,0
-1,2022-11-04,0,-1,ACoAAAM4yGQB-g2nrKYt7klUOecJ7H6cKQmNzXE,0
-1,2022-11-04,0,-1,ACoAAABC25ABNxx29-igEqf0-nO_7F8GgG_sjbc,0
-1,2022-11-04,0,-1,ACoAAADL2DMBSh6TBKCPYfuqNf3db2gj33CXj7A,0
-1,2022-11-04,0,-1,ACoAAAF_OdEBSk4Y6HW3IKb9Qh_dsEIfRzbMBSg,0
-1,2022-11-04,0,-1,ACoAADndOZEBincm94VsXlUBzaOqjQY1pG_Mbb4,0
-1,2022-11-04,0,-1,ACoAAACTlW8B1rrwhPJZceqe-Ij0W5Qq305RmHQ,0
-1,2022-11-04,0,-1,ACoAAACbmeIB8gchFfl9HV8g8llpQt1eiN8_1tc,0
-1,2022-11-04,0,-1,ACoAAACBeEYBxMHc_s3yeZQgOQlId7OSwgI4FnM,0
-1,2022-11-04,0,-1,ACoAABjMAq4Bt4HLmBl9mk35MnToZ5-4NKNo9Ac,0
-1,2022-11-04,1,-1,ACoAABIJSekB39mDtcG5a2oQcp989vmFDG7Lnu4,0
-1,2022-11-04,1,-1,ACoAAADp1pgB57IlDGvCZLKqx42Tb5Zh5cUs664,0
-1,2022-11-04,0,-1,ACoAAAHxVzcBNS8-6GYvpja5QpswQCje0J4moto,0
-1,2022-11-04,0,-1,ACoAAAN1Kg0BbSmyWHrTqCDq9v11OxDxbWNmPYQ,0
-1,2022-11-04,0,-1,ACoAABIY6QYBRZHoZhjlYEJdSXSarKmnEp8cTLA,0
-1,2022-11-04,1,-1,ACoAABKV1KwBA85HyFkw3Q66MxD2meN1AZ4Fhyo,0
-1,2022-11-04,0,-1,ACoAACFgC9cB2bb_YXktzipkPS1HOHH2snuBDso,0
-1,2022-11-04,1,-1,ACoAAAn0zewB4AVmO5JA-X_TnAtOzLYtcFdCvkY,0
-1,2022-11-04,0,-1,ACoAAAxRVW4BB-MxSX8zl_cHBz1TgU6iyDJ47Bo,0
-1,2022-11-04,0,-1,ACoAACJS0-MB4BpqOPVXKchVL4KsXgjFl8FOzxw,0
-1,2022-11-04,0,-1,ACoAAACNio0Byy9KTVCtDCsg0CmJOSsugx1U9oU,0
-1,2022-11-04,1,-1,ACoAABfHCk8BZ1v_IwY_9FNoO0V80EVjL0D5gAA,0
-1,2022-11-04,1,-1,ACoAAAcxX9IBPCjV1hDZ1eZjJMlFBhzB4E4rD_U,0
-1,2022-11-04,0,-1,ACoAAA1hpckBAQsJkkp2lsNifkXXfkMp_6FGzeg,0
-1,2022-11-04,0,-1,ACoAABtLcj4BQkhwrVxqdoBZrHQKL_vs4eVtvx4,0
-1,2022-11-04,0,-1,ACoAAALdjVABxWL2RBOYVqHrr7JQbmdauTwdp9A,0
-1,2022-11-04,0,-1,ACoAAAZZoQABpNlMpv27OvHdf3u5Jn27Rz1v1U4,0
-1,2022-11-04,1,-1,ACoAAATsUf0BvlcHSWRdvB6eFMjut6ZwGb1BAzk,0
-1,2022-11-04,1,-1,ACoAAAAaDTkBOOR3XCneMGmWzjd857yGaKBEPCU,0
-1,2022-11-04,0,-1,ACoAABijD6MBxoNz98K1HvLEGyLr07eAh1a9E1g,0
-1,2022-11-04,0,-1,ACoAAABMGJUBQOoIP9xV6CUgbCAKPAo4fl3DhN0,0
-1,2022-11-04,0,-1,ACoAAAQlnPEBYGLDuf-JyHxiPLQvhsMuaAt8cEE,0
-1,2022-11-04,0,-1,ACoAAAkRZk8BxNBzZZkVFRAHohdzIjPh0kQ5utk,0
-1,2022-11-04,0,-1,ACoAAByjbNIBPhxxkZGJrAJo1FGA71lm6VEVcO0,0
-1,2022-11-04,0,-1,ACoAAAXNZV0B98tzTa9vN9T1IgNeEPrHzp9zhWM,0
-1,2022-11-04,0,-1,ACoAACKhjtYBmwBSqkrv-3Wha_KOgl-4dHpIKu0,0
-1,2022-11-04,0,-1,ACoAAA_NBbUB3vvXmnJ9oj3XtRdSorQAJ1WgWLc,0
-1,2022-11-04,1,-1,ACoAAAM0qi8Blhxx6Aisn5OXon3kiAg_b-LC-iQ,0
-1,2022-11-04,0,-1,ACoAABvfdZAB4nbhDkav8k6E9FHL9xtgSJh1kzE,0
-1,2022-11-04,0,-1,ACoAAA1aon4BheXfoUd_yWYxhGD9aq5FCmCtn-I,0
-1,2022-11-04,0,-1,ACoAAA09vpEBxU5l1qgSyUd50DW_SwXOyJCHfCM,0
-1,2022-11-04,0,-1,ACoAACHumUABdJL-p2nWT4Pto4Q6aRKB_WrJi34,0
-1,2022-11-04,0,-1,ACoAAALKT6UBatY1NsMg6cJaPB0dsWfpt64G0rQ,0
-1,2022-11-04,0,-1,ACoAABsFUM0BEH5TXC3YwJfzuoVatyuhMCadvXU,0
-1,2022-11-04,1,-1,ACoAAAWfCXwBiWdUFqFhJilI8K3TM7e-zxDIgQA,0
-1,2022-11-04,0,-1,ACoAACB1lHkBSJBUIc9vgAqdbzREZk3tght4IVU,0
-1,2022-11-04,0,-1,ACoAAB-Z2N0B10l4G6wmfaHLh2W7oK9iN9T6ExA,0
-1,2022-11-04,0,-1,ACoAADAh7c4BDzKSmSVH64wyPTAkUjg7USKRUNE,0
-1,2022-11-04,0,-1,ACoAAB0Aw_ABCkQMt19trdA95puzEYN6TIOsVkM,0
-1,2022-11-04,0,-1,ACoAAAhqHKkBdPIUHEjvl2Qg0Ck7DHLAtAJ4yXc,0
-1,2022-11-04,0,-1,ACoAAAm4iScBRrzrJ2S1_3sIreTPybzre0_Ym-o,0
-1,2022-11-04,0,-1,ACoAAAOzQpcBzf0-Y0AFUvpx558PI3fFvr1Rsn8,0
-1,2022-11-04,0,-1,ACoAAAAl-EEBO12XnPjHVSGKjxkRikfMMoaM3hE,0
-1,2022-11-04,0,-1,ACoAAACD8gwBhYHXxNURpN6W_lT3zXIg-EjiBEY,0
-1,2022-11-04,1,-1,ACoAABzdUacBZxnSKxwU2GYBeokGBhvRlFJBuko,0
-1,2022-11-04,0,-1,ACoAAAKL3RUBTWt9vpBG_WHxm6ExNPtD4OWT-jE,0
-1,2022-11-04,1,-1,ACoAAALq674BAlnsTUeNM0khyHmG2XR_QFW-gGk,0
-1,2022-11-04,0,-1,ACoAABOwlEcBQ3I0pxKjUFjBHgciCC1QrIPhFgc,0
-1,2022-11-04,0,-1,ACoAAAacU2oBdVXq-am0XUSweTTz12nYYc6vU00,0
-1,2022-11-04,0,-1,ACoAABFzJ0wBmHqzOS-RKTyOyMq46es_bh4TFYw,0
-1,2022-11-04,0,-1,ACoAACbrpYABPAcZyM7HKC3se2sp3Dt8M6UzDZc,0
-1,2022-11-04,0,-1,ACoAAABILjEBkN01TQ3esbbalQCKdHXRBck3BYY,0
-1,2022-11-04,1,-1,ACoAAB9_kV0BvT5Reylc18q3slS-4CYyM7ovZ-k,0
-1,2022-11-04,0,-1,ACoAAB6wuSgBTczYF_wqmCA4BkXASkMIqsh58pI,0
-1,2022-11-04,0,-1,ACoAACDZRIEBuROuBqfbDGEK8C9JCfVDOMDzBug,0
-1,2022-11-04,0,-1,ACoAACsQ8IwB_z081Hh5JY3-692trW7ZB_BI5pk,0
-1,2022-11-04,0,-1,ACoAAAk_AFsBbRGLCKDJQX0dqAJt0Fyrls2G1Go,0
-1,2022-11-04,1,-1,ACoAABUOWCQBoP3jrJj6ELXI2Tmr3N_opyWIYNQ,0
-1,2022-11-04,0,-1,ACoAAAdIu-8BUxXZDod7cLx2n2TJo2M35L8GNEA,0
-1,2022-11-04,0,-1,ACoAAAOiefMBtrQlpdl96Kn18C0AaXfRYXi8pJ8,0
-1,2022-11-04,0,-1,ACoAAATCTUkBjbMXyGe_QhydYJ58bGULT8Hp9os,0
-1,2022-11-04,1,-1,ACoAABhFlQsB6hlOVQPA8VwxGgI5EFLDYgvaEbM,0
-1,2022-11-04,0,-1,ACoAAAEPcu4Bf-_OMrXlGxKFYMRvmd12lnB7aeI,0
-1,2022-11-04,1,-1,ACoAAAAagi0BxFcgriFOSa8JuLhjtxAZIpljaGw,0
-1,2022-11-04,0,-1,ACoAAACP4O4B6sKPNfmCrhlwkuhi0AS31v7urN0,0
-1,2022-11-04,0,-1,ACoAAAqRjSoB21uxkMO9jKwoFVgFKZEIP_hPnn4,0
-1,2022-11-04,0,-1,ACoAAAnpMpUBkDO37R_2nNyqyV1fd8hTjBf-Bts,0
-1,2022-11-04,1,-1,ACoAABr45q0BhNI-fHPKIxYsrgUYqka2Api-5CQ,0
-1,2022-11-04,1,-1,ACoAAA4yjNQB1nKIZrXQyRnIPWoJ6wEYEFKGzOc,0
-1,2022-11-04,0,-1,ACoAABEN2bIB2yGd7i7AOpMM_CAr0Pz6tVIzBPo,0
-1,2022-11-04,1,-1,ACoAAAAWUYUBZjQ10DJHG7jtIr9a-5YhMgKJn8g,0
-1,2022-11-04,0,-1,ACoAAAjBMQMBFvzBCwp0Q1vuyNc73xHcHE889TM,0
-1,2022-11-04,1,-1,ACoAACWYhjoBHn3udr2Cy-gupb7LNoXpf-5oiUE,0
-1,2022-11-04,1,-1,ACoAAB5AA0gBud1pc0GqMH6dejgB-qsurxmMQRg,0
-1,2022-11-04,0,-1,ACoAABgIkxgBj_5_ICAyHzVTQhKIjkA4LPUNJnI,0
-1,2022-11-04,0,-1,ACoAAAuxYLYBvydPUOyv9vMNJWIlKAU3YkPpFMw,0
-1,2022-11-04,0,-1,ACoAACOvfXwBWOGFSbkJsMSSR3EVUa5ZlwAH988,0
-1,2022-11-04,1,-1,ACoAACI3pLoBS5c-oqO6Krjl8bq1Ig5FFHFtzus,0
-1,2022-11-04,1,-1,ACoAAB-OiBYBUzjPNsSTV4nsjW99wJMAu2TXUhw,0
-1,2022-11-04,0,-1,ACoAABD4dbQBIQBQEoL9QNCj96OOtme6Arq7Ygk,0
-1,2022-11-04,0,-1,ACoAAABOj_YB-lg6dYNwwkBK6EjXi_84qE8XWC4,0
-1,2022-11-04,1,-1,ACoAAABXwCoBWsxYhVIHnHfX19VdVwgACZVNfLo,0
-1,2022-11-04,0,-1,ACoAAAnxOuoBj_ERGz0hjj0zAOfWwC_MODxCNdI,0
-1,2022-11-04,1,-1,ACoAAAZogEgBEI6RDDLefkPnGWfzz7HQq5o-OCI,0
